r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
9.727804064750671387e-01,5.429778695106506348e-01,5.027627348899841309e-01,5.382342338562011719e-01,4.833333492279052734e+00,5.333333492279052734e+00,0.000000000000000000e+00,3.590000000000000000e+02,5.000000000000000000e+00,2.200000000000000000e+02,1.000000000000000000e+00,1.604747772216796875e-01,1.080148890614509583e-01,6.039999723434448242e-01,0.000000000000000000e+00,5.371195077896118164e-01,2.888620567321777344e+01
9.727804064750671387e-01,5.408786535263061523e-01,5.015047788619995117e-01,5.321068763732910156e-01,4.744318008422851562e+00,6.099999904632568359e+00,0.000000000000000000e+00,3.450000000000000000e+02,7.000000000000000000e+00,2.030000000000000000e+02,2.000000000000000000e+00,1.408129036426544189e-01,9.403198212385177612e-02,6.480000019073486328e-01,0.000000000000000000e+00,5.240248441696166992e-01,2.999932670593261719e+01
9.727804064750671387e-01,5.408786535263061523e-01,5.020982623100280762e-01,5.342283844947814941e-01,5.375661373138427734e+00,5.800000190734863281e+00,0.000000000000000000e+00,3.690000000000000000e+02,7.000000000000000000e+00,2.320000000000000000e+02,1.000000000000000000e+00,1.292699128389358521e-01,8.728849887847900391e-02,6.219999790191650391e-01,0.000000000000000000e+00,5.273523330688476562e-01,3.118789863586425781e+01
9.727804064750671387e-01,5.408786535263061523e-01,5.014531016349792480e-01,5.345045328140258789e-01,5.375634670257568359e+00,7.000000000000000000e+00,0.000000000000000000e+00,3.880000000000000000e+02,9.000000000000000000e+00,2.480000000000000000e+02,5.000000000000000000e+00,1.197893545031547546e-01,9.198912978172302246e-02,6.060000061988830566e-01,0.000000000000000000e+00,5.240248441696166992e-01,3.244841766357421875e+01
9.727804064750671387e-01,5.408786535263061523e-01,5.015092492103576660e-01,5.388308763504028320e-01,5.328205108642578125e+00,5.199999809265136719e+00,0.000000000000000000e+00,3.620000000000000000e+02,5.000000000000000000e+00,2.270000000000000000e+02,1.000000000000000000e+00,1.133143007755279541e-01,6.620045751333236694e-02,6.100000143051147461e-01,0.000000000000000000e+00,5.354377031326293945e-01,3.334888076782226562e+01
9.727804064750671387e-01,5.426013469696044922e-01,5.039651989936828613e-01,5.384019017219543457e-01,5.257894515991210938e+00,5.625000000000000000e+00,0.000000000000000000e+00,3.580000000000000000e+02,6.000000000000000000e+00,2.220000000000000000e+02,2.000000000000000000e+00,1.084837019443511963e-01,6.864184886217117310e-02,6.200000047683715820e-01,0.000000000000000000e+00,5.371195077896118164e-01,3.449214172363281250e+01
9.727804064750671387e-01,5.429778695106506348e-01,5.013198256492614746e-01,5.357597470283508301e-01,5.373786449432373047e+00,7.300000190734863281e+00,0.000000000000000000e+00,3.710000000000000000e+02,8.000000000000000000e+00,2.510000000000000000e+02,4.000000000000000000e+00,1.096280068159103394e-01,7.274771481752395630e-02,5.879999995231628418e-01,0.000000000000000000e+00,5.241479873657226562e-01,3.573368835449218750e+01
9.727804064750671387e-01,5.408786535263061523e-01,5.020710229873657227e-01,5.353887677192687988e-01,5.195652008056640625e+00,6.699999809265136719e+00,0.000000000000000000e+00,3.660000000000000000e+02,7.000000000000000000e+00,2.300000000000000000e+02,3.000000000000000000e+00,1.040267348289489746e-01,7.225893437862396240e-02,6.320000290870666504e-01,0.000000000000000000e+00,5.241479873657226562e-01,3.680009460449218750e+01
9.727804064750671387e-01,5.408786535263061523e-01,5.027996301651000977e-01,5.324929952621459961e-01,5.156756877899169922e+00,6.400000095367431641e+00,0.000000000000000000e+00,3.640000000000000000e+02,8.000000000000000000e+00,2.150000000000000000e+02,3.000000000000000000e+00,1.001948043704032898e-01,6.586070358753204346e-02,6.299999952316284180e-01,0.000000000000000000e+00,5.227618813514709473e-01,3.783209228515625000e+01
9.727804064750671387e-01,5.408786535263061523e-01,5.025340318679809570e-01,5.363851785659790039e-01,5.723300933837890625e+00,6.300000190734863281e+00,0.000000000000000000e+00,3.770000000000000000e+02,6.000000000000000000e+00,2.260000000000000000e+02,3.000000000000000000e+00,9.764318168163299561e-02,6.976310163736343384e-02,5.879999995231628418e-01,0.000000000000000000e+00,5.285072326660156250e-01,3.908382415771484375e+01
