r,count_on_policy,count_off_policy,expression,traversal,nmse_test,success
0.9727804001854877,4,0,"-1.0006 * mul(u1,diff(u1,x1)) + -0.0025 * diff3(u1,x1)","add,mul,u1,diff,u1,x1,diff3,u1,x1",0.0001668212372795166,True
0.9673252429060336,1,0,"-0.5001 * diff(mul(u1,u1),x1) + -0.0025 * diff3(u1,x1) + -0.0007 * diff(u1,x1)","add,add,diff,mul,u1,u1,x1,diff3,u1,x1,diff,u1,x1",2.3156790420321365e-05,True
0.9673252429060336,1,0,"-0.0025 * diff3(u1,x1) + -0.0007 * diff(u1,x1) + -0.5001 * diff(n2(u1),x1)","add,add,diff3,u1,x1,diff,u1,x1,diff,n2,u1,x1",2.3156790420321375e-05,True
0.9673252429060336,1,0,"-0.5001 * diff(n2(u1),x1) + -0.0025 * diff3(u1,x1) + -0.0007 * diff(u1,x1)","add,add,diff,n2,u1,x1,diff3,u1,x1,diff,u1,x1",2.3156790420321365e-05,True
0.9668751780147076,1,0,"-0.0025 * diff3(u1,x1) + 0.0001 * u1 + -0.5002 * diff(n2(u1),x1)","add,diff3,u1,x1,add,u1,diff,n2,u1,x1",3.1634753317340123e-05,True
0.9628556730558356,1,0,"-0.0004 * u1 + -1.0006 * mul(u1,diff(u1,x1)) + -0.0025 * diff3(u1,x1)","add,add,u1,mul,u1,diff,u1,x1,diff3,u1,x1",0.0001667458238376081,True
0.5632932763136167,1,0,"-0.0058 * diff2(u1,x1) + -0.6171 * diff(mul(x1,u1),x1) + 0.1088 * diff(u1,x1)","add,add,diff2,u1,x1,diff,mul,x1,u1,x1,diff,u1,x1",1.5788769370612772,False
0.5512423287031272,2,0,"-0.5842 * mul(x1,diff(u1,x1)) + 0.1010 * diff(u1,x1)","add,mul,x1,diff,u1,x1,diff,u1,x1",1.832286579996201,False
0.5512423287031272,1,0,"0.1010 * diff(u1,x1) + -0.2921 * mul(x1,add(diff(u1,x1),diff(u1,x1)))","add,diff,u1,x1,mul,x1,add,diff,u1,x1,diff,u1,x1",1.832286579996201,False
0.5512423287031272,1,0,"-0.2921 * mul(diff(n2(x1),x1),diff(u1,x1)) + 0.1010 * diff(u1,x1)","add,mul,diff,n2,x1,x1,diff,u1,x1,diff,u1,x1",1.832286579996201,False
0.5512423287031272,2,0,"0.1010 * diff(u1,x1) + -0.5842 * mul(diff(u1,x1),x1)","add,diff,u1,x1,mul,diff,u1,x1,x1",1.832286579996201,False
0.5512423287031272,2,0,"-0.5842 * mul(diff(u1,x1),x1) + 0.1010 * diff(u1,x1)","add,mul,diff,u1,x1,x1,diff,u1,x1",1.832286579996201,False
0.5512423287031272,1,0,"-0.2921 * mul(diff(u1,x1),diff(mul(x1,x1),x1)) + 0.1010 * diff(u1,x1)","add,mul,diff,u1,x1,diff,mul,x1,x1,x1,diff,u1,x1",1.832286579996201,False
0.5497980101009291,1,0,"-0.5867 * mul(x1,add(diff(u1,x1),u1)) + 0.1012 * diff(u1,x1)","add,mul,x1,add,diff,u1,x1,u1,diff,u1,x1",1.854356426292307,False
0.5481686368056046,1,0,"-0.0048 * diff2(u1,x1) + -0.4255 * diff(mul(x1,u1),x1)","add,diff2,u1,x1,diff,mul,x1,u1,x1",1.87955355912804,False
0.5476406441062506,1,0,"-0.4608 * diff(mul(u1,x1),x1) + -0.0455 * diff(n2(u1),x1) + 0.1404 * diff(u1,x1)","add,add,diff,mul,u1,x1,x1,diff,n2,u1,x1,diff,u1,x1",1.8014723630340677,False
0.5476406441062506,1,0,"-0.4608 * diff(mul(x1,u1),x1) + -0.0455 * diff(n2(u1),x1) + 0.1404 * diff(u1,x1)","add,add,diff,mul,x1,u1,x1,diff,n2,u1,x1,diff,u1,x1",1.8014723630340677,False
0.5466585248720669,1,0,"-0.0005 * diff3(u1,x1) + -0.0016 * diff2(u1,x1) + 0.0021 * mul(diff3(u1,x1),x1)","add,diff3,u1,x1,add,diff2,u1,x1,mul,diff3,u1,x1,x1",1.8163690725916497,False
0.5456974606349101,2,0,"0.5441 * u1 + -0.5847 * diff(mul(u1,x1),x1) + 0.1012 * diff(u1,x1)","add,add,u1,diff,mul,u1,x1,x1,diff,u1,x1",1.8310580267768841,False
0.5456974606349101,1,0,"0.5441 * u1 + -0.5847 * diff(mul(x1,u1),x1) + 0.1012 * diff(u1,x1)","add,add,u1,diff,mul,x1,u1,x1,diff,u1,x1",1.8310580267768841,False
0.5456974606349101,1,0,"-0.5847 * diff(mul(u1,x1),x1) + 0.1012 * diff(u1,x1) + 0.5441 * u1","add,add,diff,mul,u1,x1,x1,diff,u1,x1,u1",1.8310580267768843,False
0.54567026695256,1,0,"-0.0403 * u1 + 0.1011 * diff(u1,x1) + -0.5846 * mul(diff(u1,x1),x1)","add,u1,add,diff,u1,x1,mul,diff,u1,x1,x1",1.831475271329274,False
0.5435956925455657,2,0,"-0.0033 * diff2(u1,x1) + -0.4154 * mul(diff(u1,x1),x1)","add,diff2,u1,x1,mul,diff,u1,x1,x1",1.952004232068532,False
0.543243341107789,1,0,"-0.0002 * diff3(u1,x1) + -0.2465 * mul(add(diff(u1,x1),diff(u1,x1)),x1)","add,diff3,u1,x1,mul,add,diff,u1,x1,diff,u1,x1,x1",1.9576946688112264,False
0.543243341107789,1,0,"-0.0002 * diff3(u1,x1) + -0.2465 * mul(diff(n2(x1),x1),diff(u1,x1))","add,diff3,u1,x1,mul,diff,n2,x1,x1,diff,u1,x1",1.9576946688112264,False
0.543243341107789,3,0,"-0.0002 * diff3(u1,x1) + -0.4930 * mul(diff(u1,x1),x1)","add,diff3,u1,x1,mul,diff,u1,x1,x1",1.9576946688112264,False
0.543243341107789,1,0,"-0.0002 * diff3(u1,x1) + -0.2465 * mul(diff(u1,x1),add(x1,x1))","add,diff3,u1,x1,mul,diff,u1,x1,add,x1,x1",1.9576946688112264,False
0.5429778675248561,1,0,"0.0852 * diff(u1,x1) + -0.5173 * diff(mul(u1,x1),x1)","add,diff,u1,x1,diff,mul,u1,x1,x1",1.9619923959008725,False
0.5429778675248561,2,0,"-0.5173 * diff(mul(x1,u1),x1) + 0.0852 * diff(u1,x1)","add,diff,mul,x1,u1,x1,diff,u1,x1",1.961992395900873,False
0.5429778675248561,2,0,"0.0852 * diff(u1,x1) + -0.5173 * diff(mul(x1,u1),x1)","add,diff,u1,x1,diff,mul,x1,u1,x1",1.9619923959008725,False
0.5429778675248561,4,0,"-0.5173 * diff(mul(u1,x1),x1) + 0.0852 * diff(u1,x1)","add,diff,mul,u1,x1,x1,diff,u1,x1",1.961992395900873,False
0.5426028036959377,1,0,"-0.4072 * mul(add(mul(x1,mul(mul(u1,x1),x1)),diff(u1,x1)),x1)","mul,add,mul,x1,mul,mul,u1,x1,x1,diff,u1,x1,x1",2.0590986820150334,False
0.542601369795862,1,0,"-0.0350 * u1 + -0.4240 * diff(mul(x1,u1),x1) + -0.0049 * diff2(u1,x1)","add,u1,add,diff,mul,x1,u1,x1,diff2,u1,x1",1.879140234939975,False
0.542601359287136,1,0,"-0.0049 * diff2(u1,x1) + -0.4240 * mul(diff(u1,x1),x1) + -0.4590 * u1","add,add,diff2,u1,x1,mul,diff,u1,x1,x1,u1",1.8791404001350123,False
0.5420486669094535,1,0,"-0.4043 * mul(add(diff(u1,x1),mul(u1,x1)),x1)","mul,add,diff,u1,x1,mul,u1,x1,x1",2.0684251828843507,False
0.5420486669094535,1,0,"-0.2022 * mul(add(mul(u1,x1),diff(u1,x1)),diff(n2(x1),x1))","mul,add,mul,u1,x1,diff,u1,x1,diff,n2,x1,x1",2.0684251828843507,False
0.5411930071613297,1,0,"-0.5829 * mul(x1,diff(u1,x1)) + -0.0008 * mul(u1,diff2(u1,x1)) + 0.1014 * diff(u1,x1) + -0.1521 * u1","add,add,add,mul,x1,diff,u1,x1,mul,u1,diff2,u1,x1,diff,u1,x1,u1",1.8137532659912114,False
0.5411872742398741,1,0,"-0.2027 * mul(add(add(n3(mul(u1,n3(x1))),x1),x1),diff(u1,x1))","mul,add,add,n3,mul,u1,n3,x1,x1,x1,diff,u1,x1",2.0830029482460795,False
0.5408794239638419,1,0,"-0.0161 * mul(add(diff3(mul(n3(x1),x1),x1),x1),diff(u1,x1))","mul,add,diff3,mul,n3,x1,x1,x1,x1,diff,u1,x1",2.0882365604244275,False
0.5408786286144152,1,0,"-0.1008 * mul(add(diff(u1,x1),diff(u1,x1)),diff(mul(x1,x1),x1))","mul,add,diff,u1,x1,diff,u1,x1,diff,mul,x1,x1,x1",2.0882500979966783,False
0.5408786286144152,4,0,"-0.2017 * mul(diff(u1,x1),diff(mul(x1,x1),x1))","mul,diff,u1,x1,diff,mul,x1,x1,x1",2.0882500979966783,False
0.5408786286144152,1,0,"-0.2017 * mul(diff(u1,x1),add(x1,x1))","mul,diff,u1,x1,add,x1,x1",2.0882500979966783,False
0.5408786286144152,1,0,"-0.2017 * mul(x1,add(diff(u1,x1),diff(u1,x1)))","mul,x1,add,diff,u1,x1,diff,u1,x1",2.0882500979966783,False
0.5408786286144152,77,0,"-0.4033 * mul(diff(u1,x1),x1)","mul,diff,u1,x1,x1",2.0882500979966783,False
0.5408786286144152,2,0,"-0.0672 * mul(diff2(n3(x1),x1),diff(u1,x1))","mul,diff2,n3,x1,x1,diff,u1,x1",2.0882500979966783,False
0.5408786286144152,8,0,"-0.2017 * mul(diff(mul(x1,x1),x1),diff(u1,x1))","mul,diff,mul,x1,x1,x1,diff,u1,x1",2.0882500979966783,False
0.5408786286144152,4,0,"-0.2017 * mul(diff(u1,x1),diff(n2(x1),x1))","mul,diff,u1,x1,diff,n2,x1,x1",2.0882500979966783,False
0.5408786286144152,1,0,"-0.4033 * mul(add(x1,diff3(mul(x1,x1),x1)),diff(u1,x1))","mul,add,x1,diff3,mul,x1,x1,x1,diff,u1,x1",2.0882500979966783,False
0.5408786286144152,1,0,"-0.4033 * mul(div(diff(n2(x1),x1),diff2(n2(x1),x1)),diff(u1,x1))","mul,div,diff,n2,x1,x1,diff2,n2,x1,x1,diff,u1,x1",2.0882500979966783,False
0.5408786286144152,1,0,"-0.0672 * mul(diff2(mul(mul(x1,x1),x1),x1),diff(u1,x1))","mul,diff2,mul,mul,x1,x1,x1,x1,diff,u1,x1",2.0882500979966783,False
0.5408786286144152,73,0,"-0.4033 * mul(x1,diff(u1,x1))","mul,x1,diff,u1,x1",2.0882500979966783,False
0.5408786286144152,1,0,"-0.1008 * mul(mul(n2(diff2(n2(x1),x1)),x1),diff(u1,x1))","mul,mul,n2,diff2,n2,x1,x1,x1,diff,u1,x1",2.0882500979966783,False
0.5408786286144152,7,0,"-0.2017 * mul(diff(n2(x1),x1),diff(u1,x1))","mul,diff,n2,x1,x1,diff,u1,x1",2.0882500979966783,False
0.5408786286144152,2,0,"-0.2017 * mul(add(diff(u1,x1),diff(u1,x1)),x1)","mul,add,diff,u1,x1,diff,u1,x1,x1",2.0882500979966783,False
0.5407051745914917,1,0,"-0.2216 * mul(add(diff(u1,x1),mul(u1,diff(u1,x1))),x1)","mul,add,diff,u1,x1,mul,u1,diff,u1,x1,x1",2.091204443973345,False
0.5406145943067208,1,0,"-0.2028 * mul(x1,add(add(u1,diff(u1,x1)),diff(u1,x1)))","mul,x1,add,add,u1,diff,u1,x1,diff,u1,x1",2.092748831707954,False
